regime,traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
Pushforward,189,4.5533055908713144e-05,0.0015753101197333308,0.24,98.15950920245399,-74.16420199030006,-73.80017526679995,0.06,0.15,0.15,0.15,,
Pushforward,194,2.636828406342294e-05,0.00043035829503423884,2.22,27.607361963190183,-7.61415541604278,54744.07573505007,0.18,2.22,0.78,2.22,,
Pushforward,195,4.746563843924461e-06,0.00022092812787377625,4.92,73.00613496932516,-4.367615915919139,,0.36,3.0300000000000002,1.11,3.0300000000000002,3.12,4.89
Pushforward,196,3.110706522947602e-06,0.0006829756616753002,4.92,39.263803680981596,-8.352772259984556,,0.21,3.21,3.0,3.21,4.86,
Pushforward,197,3.1932631316512986e-06,0.0005563751192312338,4.38,36.809815950920246,-6.64243288702236,,0.21,4.14,3.0300000000000002,4.14,,
Pushforward,208,4.32998682818148e-05,0.0010086501656587643,4.5600000000000005,98.15950920245399,-14.26688749969761,-54.143300776151264,0.06,0.21,0.15,0.21,,
Pushforward,217,1.133923503370661e-05,0.00020521499709502677,3.72,77.30061349693251,-19.28686711548032,3935.0756224492516,0.21,0.51,0.33,0.51,,
Pushforward,225,1.5140046549943513e-05,0.00033477052602393087,2.07,54.60122699386503,-9.992268368457653,74225.23777443358,0.18,1.86,0.75,1.86,,
Pushforward,229,7.580880873198678e-05,0.0011760016896005254,4.59,98.15950920245399,-10.508388358038156,-62.34160755370074,0.06,0.15,0.15,0.15,,
Pushforward,258,2.108900144425334e-05,0.0003931344044758589,3.93,43.558282208588956,-8.318485797686868,32592028.304768372,0.18,2.58,0.96,2.58,,
Pushforward,322,2.5545738864046203e-05,0.0005165310799384315,2.67,39.877300613496935,-9.065526685372083,204508915.84067973,0.32999999999999996,2.64,0.96,2.64,,
Pushforward,389,3.760194220986061e-05,0.0006794499645366159,4.74,66.87116564417178,-9.543620135391352,6401.829768584771,0.09,0.6,0.51,0.6,,
Pushforward,426,8.469822618165328e-05,0.001511251583451667,3.39,94.47852760736197,-3.845981104416173,-15.150564753241621,0.15,0.33,0.24,0.33,,
Pushforward,447,1.1053499619275919e-05,0.0003835565371446137,4.47,63.80368098159509,-7.099092423181601,,0.21,,1.3800000000000001,,,
Pushforward,464,3.414071003807649e-06,0.0006170585384097649,4.89,28.834355828220858,-5.111550270570468,,0.27,4.08,3.12,4.08,4.74,
Pushforward,477,3.6563916847436544e-06,0.0008849279402056709,4.29,39.263803680981596,-6.406583230343705,,0.18,3.15,2.85,3.15,,
Pushforward,573,8.670833587080583e-06,0.00020562939971568994,3.93,69.93865030674847,-8.754380480398218,14921733.865992403,0.21,1.77,0.6900000000000001,1.77,,
Pushforward,605,3.7522034196473073e-06,0.0003695939699355222,4.59,30.061349693251532,-17.695074763323536,,0.3,3.84,3.3000000000000003,3.84,4.47,
Pushforward,609,3.2307631671316005e-06,0.0006087634301366052,4.92,38.65030674846626,-9.604331775158059,,0.21,3.24,3.0300000000000002,3.24,4.29,
Pushforward,623,3.1779377495765738e-06,0.000626234337232745,4.92,37.423312883435585,-22.786810659544877,,0.18,3.39,2.94,3.39,4.59,4.7700000000000005
Pushforward,687,1.3052259332767447e-05,0.000486940792598034,4.38,53.374233128834355,-11.927172025586778,,0.21,4.32,1.23,4.32,,
Pushforward,698,2.0224498505896097e-05,0.00036596606332750525,3.3000000000000003,95.70552147239263,-48.11142168531031,-35.38346402964461,0.09,0.33,0.24,0.33,3.15,
Pushforward,709,3.388511809894441e-06,0.0005106121129756502,4.38,40.49079754601227,-6.6077831858828695,,0.24,4.14,2.7600000000000002,4.14,4.29,
